Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA
253,Ahmad Benali\Ahmad-Benali,ly LBY,MF,Crotone,it Serie A,25,1992,10,10,811,9,1,1,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,1.1,1.1,0.2,1.3,0.13,0.02,0.15,0.13,0.15
254,Yohan Benalouane\Yohan-Benalouane,tn TUN,DF,Leicester City,eng Premier League,30,1987,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0.1
255,Marco Benassi\Marco-Benassi,it ITA,MFFW,Fiorentina,it Serie A,22,1994,35,35,2782,30.9,5,3,5,0,0,6,0,0.16,0.1,0.26,0.16,0.26,4.9,4.9,3.2,8.1,0.16,0.1,0.26,0.16,0.26
256,Medhi Benatia\Medhi-Benatia,ma MAR,DF,Juventus,it Serie A,30,1987,20,19,1755,19.5,2,0,2,0,0,8,0,0.1,0,0.1,0.1,0.1,2.4,2.4,0,2.4,0.12,0,0.12,0.12,0.12
257,Lars Bender\Lars-Bender,de GER,DFMF,Leverkusen,de Bundesliga,28,1989,21,20,1595,17.7,2,4,2,0,0,5,0,0.11,0.23,0.34,0.11,0.34,1.7,1.7,3.2,4.8,0.09,0.18,0.27,0.09,0.27
258,Sven Bender\Sven-Bender,de GER,DF,Leverkusen,de Bundesliga,28,1989,29,29,2345,26.1,2,0,2,0,0,0,0,0.08,0,0.08,0.08,0.08,1.7,1.7,0.4,2.1,0.07,0.02,0.08,0.07,0.08
259,László Bénes\Laszlo-Benes,sk SVK,MF,M'Gladbach,de Bundesliga,19,1997,2,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.09,0.2,0.29,0.09,0.29
260,Nicolas Benezet\Nicolas-Benezet,fr FRA,FWMF,Guingamp,fr Ligue 1,26,1991,29,18,1650,18.3,3,3,3,0,0,2,0,0.16,0.16,0.33,0.16,0.33,2.1,2.1,3.3,5.5,0.12,0.18,0.3,0.12,0.3
261,Marcel Benger\Marcel-Benger,de GER,MF,M'Gladbach,de Bundesliga,19,1998,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,fr Ligue 1,24,1993,28,28,2520,28,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Charlison Benschop\Charlison-Benschop,cw CUW,MFFW,Hannover 96,de Bundesliga,27,1989,7,2,184,2,1,0,1,0,0,0,0,0.49,0,0.49,0.49,0.49,0.4,0.4,0.1,0.5,0.22,0.03,0.25,0.22,0.25
264,Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DF,Rennes,fr Ligue 1,22,1995,29,26,2342,26,0,1,0,0,0,6,0,0,0.04,0.04,0,0.04,0.8,0.8,1.3,2.1,0.03,0.05,0.08,0.03,0.08
265,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Schalke 04,de Bundesliga,22,1994,16,12,1011,11.2,4,3,0,4,4,3,1,0.36,0.27,0.62,0,0.27,3.4,0.4,0.7,1.1,0.31,0.06,0.37,0.03,0.09
266,Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MF,Juventus,it Serie A,20,1997,20,5,581,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,0.03,0.07,0.1,0.03,0.1
267,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,eng Premier League,26,1990,31,24,2240,24.9,3,5,2,1,2,6,0,0.12,0.2,0.32,0.08,0.28,9.3,7.7,3.3,11,0.37,0.13,0.5,0.31,0.44
268,Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,es La Liga,29,1987,32,25,2149,23.9,5,9,3,2,2,0,0,0.21,0.38,0.59,0.13,0.5,10.6,9,5.7,14.8,0.44,0.24,0.68,0.38,0.62
269,Yassine Benzia\Yassine-Benzia,dz ALG,MFFW,Lille,fr Ligue 1,22,1994,31,30,2288,25.4,1,5,1,0,0,8,0,0.04,0.2,0.24,0.04,0.24,1.9,1.9,5.1,7,0.08,0.2,0.27,0.08,0.27
270,Saido Berahino\Saido-Berahino,bi BDI,FW,Stoke City,eng Premier League,23,1993,15,3,494,5.5,0,1,0,0,1,0,0,0,0.18,0.18,0,0.18,2.1,1.3,0.7,2,0.39,0.12,0.51,0.25,0.37
271,Domenico Berardi\Domenico-Berardi,it ITA,FW,Sassuolo,it Serie A,22,1994,31,29,2296,25.5,4,2,2,2,4,8,1,0.16,0.08,0.24,0.08,0.16,8.9,5.9,5.2,11.1,0.35,0.2,0.55,0.23,0.43
272,Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Paris S-G,fr Ligue 1,27,1990,22,19,1715,19.1,2,3,2,0,0,4,0,0.1,0.16,0.26,0.1,0.26,0.6,0.6,2.2,2.8,0.03,0.12,0.15,0.03,0.15
273,Álex Berenguer\Alex-Berenguer,es ESP,FW,Torino,it Serie A,22,1995,22,11,1043,11.6,1,3,1,0,0,1,0,0.09,0.26,0.35,0.09,0.35,1.2,1.2,1.8,2.9,0.1,0.15,0.25,0.1,0.25
